Gaby Subplot 211,Gaby Subplot 212
0.532227352,0.532227352
0.725871956,0.725871956
0.743450917,0.743450917
0.838778896,0.838778896
0.206173981,0.388101933
0.158884277,0.66165096
0.161165222,0.685573372
0.206468359,0.777036476
0.16931259,0.693630191
0.615017756,0.80564129
0.47075576,0.630658607
0.375402252,0.735501782
0.523058584,0.669019226
0.393887781,0.781659134
0.190870569,0.679596314
0.005626156,0.679231837
0.214671451,0.79531366
0.117539284,0.845943728
0.283843978,0.776632659
0.067908818,0.885029589
0.053324398,0.705468322
0.121368134,0.696372909
0.044548175,0.845637357
0.130371129,0.413657682
0.058737161,0.64287478
0.021316554,0.71780028
-0.022956872,0.375130021
0.086632753,0.814029287
0.035854537,0.469390034
0.069281904,0.507801603
0.007072577,0.287912441
0.039461949,0.815923022
0.007507843,0.526391602
-0.013975572,0.833058078
0.05792143,0.517737166
0.24295343,0.52704974
0.056903049,0.335373569
0.111459149,0.459940239
0.04089028,0.791505396
0.232680587,0.42600423
0.211013713,0.584928891
0.056903049,0.81219798
0.113592371,0.710611171
0.203951391,0.750760992
0.204109064,0.557010833
0.342380404,0.799921222
0.059305228,0.662895139
0.001702153,0.679033525
0.119253136,0.817684015
0.488837619,0.749253515
0.138365016,0.567000473
0.530940059,0.636869388
0.626333179,0.739626994
0.612947674,0.628569449
0.147722028,0.695912789
0.045351238,0.577836757
0.240313897,0.58786041
-0.071045699,0.833323056
0.073226084,0.825707903
0.132922877,0.861843938
0.132945579,0.734275156
0.256972552,0.791888788
0.194680741,0.663099195
0.256168337,0.761542537
-0.035108998,0.758616201
-0.026885718,0.652690822
-0.026315256,0.781921937
-0.036378745,0.822053607
0.025164037,0.851835937
-0.008959213,0.844247968
0.034334603,0.136066296
-0.005292654,0.466213611
0.080673492,0.385843006
0.061303072,0.787715639
0.321294628,0.437169959
0.178437356,0.617065362
0.289758209,0.35291606
0.26420527,0.332311889
0.177633783,0.387220161
0.229513288,0.660619446
0.288626139,0.678459603
0.291161631,0.104459872
0.080615241,0.63535346
0.19423586,0.906002969
0.119264753,-0.021238172
0.12399036,0.388381284
0.029705585,0.71936016
0.033404375,0.030573688
0.193340242,-0.014059049
-0.046413984,0.691278123
-0.040786509,0.781769518
0.09859886,0.633952576
0.026181082,0.312595819
0.027727927,0.483687546
0.089501856,0.651426606
0.032545052,0.3618154
0.026503869,0.595645355
-0.005321087,0.687583051
0.078599657,0.684244877
0.118073467,0.843501752
0.096250248,0.366057599
0.112170968,0.659281446
0.047080787,0.718439463
0.188598304,0.712336048
-0.046309516,0.341757516
-0.057221602,0.378973684
-0.035170218,0.122593471
-0.050321587,0.756424585
-0.054513422,0.618074653
0.092004619,0.796737423
0.094927217,0.312124536
-0.022841463,0.219800236
0.088098373,0.586825796
0.128787783,0.583594603
0.09354144,0.439052215
0.00265095,0.393594416
0.062035949,0.460831329
0.062582153,0.419142199
0.134614813,0.41370659
0.09837265,0.705725441
0.01816939,0.709967281
0.010953793,0.518468609
0.104967642,0.622403094
0.049019132,0.548456841
0.313380645,0.228642488
0.167691249,0.28193885
0.309211963,0.240196066
0.255043411,0.724206549
0.299871112,0.755208695
-0.077852677,0.543268886
0.074145853,0.903741709
0.165767959,0.923645181
-0.035981946,0.900250212
0.088376597,0.855057117
0.181357425,0.986598461
0.10137737,0.954859347
0.01882199,0.88950271
0.116909282,0.967943195
0.059724347,0.89433401
0.080973685,0.905519595
0.006704681,0.665093624
0.078833664,0.774951703
0.040335271,0.513196466
0.091496308,0.540456934
0.06959251,0.694684307
-0.001262851,0.765238334
0.01303653,0.782358507
0.151913198,0.498429135
0.1355112,0.501275863
0.090190245,0.779419618
0.145013275,0.611605249
0.187768791,0.63547895
0.280272006,0.754173932
0.144037981,0.464990149
-0.005502504,0.533583113
0.040500837,0.59202266
0.009865709,0.51910707
-0.052863844,0.902297549
0.013206972,0.876456091
0.080024483,0.777385207
0.238466675,0.898211927
0.120002202,0.948615987
0.083992604,0.508045308
0.213438398,0.881671369
